Item,Condition,Rating,ReactionTime,Ratingdist,ReactionTimedist
1,A,5.8,16781.1,3.1,26525.9
1,B,4.5,18145.7,3.4,27378.2
1,C,1.8,22152.9,4.3,23330.6
2,A,6.7,20832.2,1.4,21747.1
2,B,2.5,19374.7,2.2,35619.4
2,C,1.7,35788.5,2.6,28936.5
3,A,6.1,23442.7,3.2,21555.5
3,B,2.1,26015.6,1.7,35073
3,C,1.4,16768.3,1,25873.5
4,A,6.4,15538.7,1.7,17823.9
4,B,4.1,43021.3,2.6,13999.3
4,C,1.2,13874.7,1.4,17230.7
5,A,6.2,14521,1.2,14481.6
5,B,3.1,18707,1.7,12362
5,C,2,14794,1.3,10760.1
6,A,5.6,21090.9,2.7,20480.1
6,B,1.7,17515.2,1.6,18221.8
6,C,1.5,15353.7,1.2,12384.6
7,A,5.5,17090.8,1.4,25915.3
7,B,4.6,19108.2,2,25350.8
7,C,1.2,21847,1.1,20531.6
8,A,6.8,17369,2.6,17058.2
8,B,3.5,15723.9,2.1,21434.1
8,C,2.5,15827.9,2.5,47838.6
9,A,6.6,23030.2,2.4,20661.7
9,B,5.5,14176.8,4.8,21672.4
9,C,2.4,14847.3,1.2,15832.5
10,A,5.2,26797.7,1.7,53107.8
10,B,4.7,24380.3,1.5,18914.1
10,C,1.5,21941.3,1.7,22991.8
11,A,6.2,25802.2,5.4,112254.1
11,B,2.8,22741.2,2.5,143928.1
11,C,1.8,25546.5,1.9,18636.9
12,A,6.4,25934.1,1.9,18685.6
12,B,3.7,19947.9,2.9,20406.4
12,C,3,17190.4,1.9,14137
13,A,6.2,31090.7,5.1,35287.4
13,B,4.9,22798.4,5.6,22923.6
13,C,2,29133.8,3.3,24965.1
14,A,5.5,27049,2.1,25478.8
14,B,5,31218.2,2.3,27748.4
14,C,2,24187.5,2.3,53740.1
15,A,5.1,23352.1,2.6,20923.1
15,B,2.9,21163.9,2.2,21399.8
15,C,1.6,19148.2,2.8,30876.5
16,A,5.6,30424.3,4.9,19937.6
16,B,4.8,28961.3,4.4,24512.8
16,C,3,20173.5,2.7,25280.3
17,A,5.4,23268.9,2.1,20177.9
17,B,5,19974.5,2.2,17520.5
17,C,1.8,24685.5,1.8,16917.3
18,A,5.2,17784.1,2.8,20444.5
18,B,3.6,17295.5,5.5,17596.8
18,C,1.6,33148.1,1.9,15441.6
19,A,7,17967,3.2,24680.2
19,B,6.8,24874.8,6.4,18108.4
19,C,1.4,17845.1,1.4,18931.5
20,A,4.6,21417.2,3.8,31270.7
