Condition,Item,Sentence,Verb,Target,Distractor,Last_Mentioned,Cloze,Cloze_distractor,Cloze_C_alternative,Cloze_round,Plaus_target_avg,Plaus_dist_avg,Cloze_C_alternative_Francesca,Surprisal_target,Surprisal_distractor,LeoLM_tar,LeoLM_dist
A,1,Dann verabschiedete die Dame,verabschiedete,Touristen,Koffer,target,0.6,0,,2,5.8,3.1,,2.503722429,1.063010693,0.653357895091176,4.96250292658806
B,1,Dann begrüßte die Dame,begrüßte,Touristen,Koffer,target,NA,NA,,,4.5,3.4,,1.769414067,5.617175102,0.679155882447958,5.92910646740347
C,1,Dann unterschrieb die Dame,unterschrieb,Touristen,Koffer,target,0,0,0.1333333333,,1.8,4.3,0.133333333,9.249886513,2.278341293,12.6564046293497,1.80003632907756
A,2,Dann kaufte der Lehrer,kaufte,Weltkarte,Verkäuferin,target,1,0,,2,6.7,1.4,,2.540403157,13.38705959,1.06810559481892,15.0991728646914
B,2,Dann unterschrieb der Lehrer,unterschrieb,Weltkarte,Verkäuferin,target,NA,NA,,,2.5,2.2,,5.18264766,9.113685579,8.10131923786503,12.370315424283
C,2,Dann füllte der Lehrer,füllte,Weltkarte,Verkäuferin,target,0,0,0.2,,1.7,2.6,0.2,5.577688403,11.03621881,2.51919143034684,6.43313929322176
A,3,Dann stempelte der Busfahrer,stempelte,Streifenkarte,Redakteurin,target,1,0,,1,6.1,3.2,,0.352082517,18.18998361,0.612491183403108,14.7307306627044
B,3,Dann zeigte der Busfahrer,zeigte,Streifenkarte,Redakteurin,target,NA,NA,,,2.1,1.7,,0.8614109214,17.00164714,0.422790108128993,13.1461607393576
C,3,Dann aß der Busfahrer,aß,Streifenkarte,Redakteurin,target,0.06666666667,0,0.1333333333,,1.4,1,0.2,0.4531728439,19.07749257,0.465152751212372,14.9329172676662
A,4,Dann nahm der Lehrling,nahm,Hammer,Schreiner,target,0.8,0,,1,6.4,1.7,,0.1730497032,10.1279211,0.129743308061734,8.65607416629791
B,4,Dann bemalte der Lehrling,bemalte,Hammer,Schreiner,target,NA,NA,,,4.1,2.6,,0.2754569054,11.37595844,0.249920684844255,11.2263101637363
C,4,Dann aß der Lehrling,aß,Hammer,Schreiner,target,0.06666666667,0,0.2,,1.2,1.4,0.333333333,0.4900487661,10.0648241,1.18454853259027,5.38979244232178
A,5,Daraufhin verpackte der Konditor,verpackte,Apfelkuchen,Opa,target,1,0,,1,6.2,1.2,,0.5783187672,10.57731247,0.372101916815154,10.2977102026343
B,5,Daraufhin backte der Konditor,backte,Apfelkuchen,Opa,target,NA,NA,,,3.1,1.7,,0.6175215673,10.57731247,1.02830619697488,10.2977102026343
C,5,Daraufhin spülte der Konditor,spülte,Apfelkuchen,Opa,target,0,0,0.2666666667,,2,1.3,0.266666667,0.5280218385,10.83362293,0.530444890959188,9.18125506490469
A,6,Nichtsahnend nahm der Kunde,nahm,Frühlingsrolle,Lieferbotin,target,1,0,,2,5.6,2.7,,1.04623188,7.937069635,0.863269892055541,5.63483074915712
B,6,Nichtsahnend wusch der Kunde,wusch,Frühlingsrolle,Lieferbotin,target,NA,NA,,,1.7,1.6,,1.856425717,8.906346759,0.313168884487823,9.18593013961799
C,6,Nichtsahnend reparierte der Kunde,reparierte,Frühlingsrolle,Lieferbotin,target,0.1333333333,0,0.1333333333,,1.5,1.2,0.266666667,2.405750884,5.936846606,0.71860598080093,4.85638269677293
