Context,Sentence,Item,ItemNum,Group,Cond,Left,Right,Critical,Block,Question,QuestionText,QuestionCorrect,QuestionCond,ListMy
"Eine Jugendliche war mit ihrer kleinen Schwester und der gemeinsamen Cousine allein zu Hause und sollte auf die beiden Kinder aufpassen, bis die Eltern wiederkamen. Die Jugendliche schlug vor, gemeinsam Verstecken zu spielen und die Kinder willigten begeistert ein. Das Sofa zählte bis 50 und die Jugendliche begann dann mit ihrer Suche. Es dauerte eine Weile, bis sie die Cousine fand. Diese kletterte aus ihrem Versteck und warf dabei aus Versehen eine Vase um, die daraufhin in viele kleine Scherben zersprang.","Dann suchte die Jugendliche die Schwester und anschließend ermahnte sie die Kinder, vorsichtiger beim Spielen zu sein.",45,145,1,257,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,0
"Ein Fußgänger wollte eine Straße überqueren und wurde dabei von einem Mercedesfahrer leicht angefahren. Der Fahrer beging daraufhin Fahrerflucht. Sofort meldete der Spaziergänger den Vorfall einem Polizisten. Außerdem verständigte er einen Notarzt. Dieser traf zuerst ein und leistete erste Hilfe. Wenig später kam auch der Wachmann und wartete, bis der Doktor mit der Untersuchung fertig war.","Danach entließ der Polizist den Notarzt und dann versicherte er dem Fußgänger, dass er den Mercedesfahrer ausfindig machen würde.",14,114,1,255,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,0
"Eine Geschäftsfrau hatte bei einer Auktion eine süße, alte Scheune ersteigert, die sie zu einer Bar herrichten ließ. Ihr Mann war nämlich Kellner und wollte sich schon lange selbstständig machen. Da der Mann in Bezug auf Ästhetik nicht sehr viel verstand, überließ er es ihr, die Renovierungsarbeiten anzuleiten. Diese hatten einige Zeit beansprucht, doch der Geschäftsfrau war das egal, denn sie war mit dem Resultat äußerst zufrieden. Die Bar war wunderschön geworden und hatte ihr altes Flair nicht verloren. Begeistert zeigte die Geschäftsfrau ihrem Mann die fertige Bar.",Daraufhin bestaunte der Mann die Geschäftsfrau und dann lobte er sie für ihren guten Geschmack.,119,25,1,152,Nein,&nbsp;Ja&nbsp;,6,3,yes,Hat die Geschätfrau den Mann korrigiert?,D,manipulation,3
"Eine Oma und ein Kleinkind standen vor einem Hasenstall und streichelten das Kaninchen. Die Oma gab dem Kleinkind Löwenzahn, damit dieses das Kaninchen füttern konnte und dann ging sie noch mehr Löwenzahn holen. Doch plötzlich biss das Kaninchen das Kleinkind und dieses fing fürchterlich an zu weinen.",Daraufhin fütterte die Oma das Kaninchen und nebenbei tröstete sie das Kleinkind.,172,43,1,151,Nein,&nbsp;Ja&nbsp;,6,3,yes,Hat die Oma das Kaninchen gekitzelt?,D,manipulation,3
"Ein Minister und sein Berater waren erzürnt über den Präsidenten aus dem Nachbarland, da dieser sich nicht an ein Handelsabkommen hielt. Daraufhin riet der Berater dem Minister, mit Sanktionen gegen den Präsidenten vorzugehen. Der Berater organisierte ein Treffen, bei dem der Minister dem Präsidenten seine Forderungen überbringen konnte.",Dann schminkte sich der Minister mit dem Präsidenten und dabei besprachen sie genauere Details.,165,40,1,153,Nein,&nbsp;Ja&nbsp;,8,3,no,,,,3
"Ein Paparazzi stellte seine große Kamera auf und wartete auf eine berühmte Schauspielerin. Es war eine sehr gute Kamera und er wollte unbedingt tolle Bilder schießen. Als die Schauspielerin den Paparazzi entdeckte, wurde sie sehr wütend, da sie nicht fotografiert werden wollte. Deshalb warf die Schauspielerin die Kamera um.","Daraufhin schulterte der Paparazzi die Schauspielerin und ferner sagte er, dass er sich so nicht behandeln lasse.",80,12,1,152,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,3
"Seitdem ein Teenager entdeckt hatte, dass sein Großvater sein Kleingeld in einem Gläschen aufbewahrte, entwendete er hin und wieder etwas Geld. Doch eines Morgens wurde er dabei von seinem Onkel ertappt. Dieser wusste, dass das Geld das Fehlen des Opas vermutlich nicht bemerken würde. Der Onkel überlegte, ob er dem Opa von dem Verhalten des Jungen erzählen sollte.",Am nächsten Tag informierte der Onkel den Großvater und daraufhin führte dieser ein ernstes Gespräch mit dem Teenager.,44,144,1,257,Nein,&nbsp;Ja&nbsp;,8,3,no,,,,0
"Ein Junge verspürte Lust, einen Apfel zu essen. Erst gestern hatte er bei der Ernte geholfen und anschließend den vollen Korb nach Hause getragen. Bei dem Gedanken, wie schwer der Korb gewesen war und daran, wie frisch und saftig der Apfel sein musste, lief dem Jungen glatt das Wasser im Mund zusammen. Der Junge wusste, dass die Mutter den Korb mit seinem ersehnten Apfel im Keller versteckte.",Sofort zerschnitt der Junge den Korb und dann entschied er sich für einen großen roten Apfel.,113,23,1,152,Nein,&nbsp;Ja&nbsp;,6,3,yes,Konnte der Junge sich für einen Apfel entscheiden?,K,continuation,3
"Ein Mopedfahrer war versehentlich gegen die Stoßstange eines Autos gefahren. Der Autofahrer verlangte nun, dass der Mopedfahrer für den Schaden aufkomme, doch dieser weigerte sich und sagte, dass die Stange ja überhaupt nicht beschädigt sei. Daraufhin rief der Autofahrer einen Polizisten zur Hilfe. Der Polizist eilte sofort herbei und begutachtete das Fahrzeug. Dann sagte der Polizist zum Mopedfahrer, dass dieser für die Reparaturkosten des Autofahrers aufkommen müsse.",Daraufhin sortierte der Mopedfahrer den Polizisten und außerdem entschuldigte er sich für den Unfall.,105,20,1,153,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,3
"In einem Museum war ein Kurator dabei, eine neue Ausstellung zu gestalten. Da es um plastische Kunst ging, hatte sich der Kurator von einer befreundeten Galeristin eine Skulptur geliehen. Gerade war die Galeristin eingetroffen und sie überlegten nun gemeinsam, wo die Skulptur am Besten zur Geltung kommen würde. Lange suchten sie nach einem geeigneten Platz und fanden schließlich einen. Mühevoll installierte der Kurator die Skulptur, während die Galeristin Anleitungen gab.",Danach sammelte der Kurator die Galeristin und dabei dankte er ihr für ihre Hilfe.,210,55,1,153,Nein,&nbsp;Ja&nbsp;,6,3,yes,War das Thema der Ausstellung Malerei?,D,paragraph,3
"Ein Historiker war dabei, ein Buch über die Stadtgeschichte zu schreiben. Er hatte schon viele Informationen gesammelt, doch es fehlten ihm immer noch ein paar Details. Deswegen machte er sich auf den Weg zur Bibliothek, um weitere Informationen zusammenzutragen. Nach Stunden der Arbeit verließ der Mann die Bibliothek erschöpft. In dem Gebäude angekommen, inspizierte er viele Bücher. Dann nahm er sich ein Buch aus der Bibliothek und machte sich viele Notizen.",Zuhause las der Historiker die Notizen und dann versuchte er sie zu ordnen.,26,126,1,256,Nein,&nbsp;Ja&nbsp;,6,3,yes,Ist der Historiker in die Bibliothek gegangen?,K,paragraph,0
"Ein Gitarrist wurde von einer Agentin engagiert, um zusammen mit einer Sängerin auf einer Party aufzutreten. Auf dem Weg zur Probe erzählte die Agentin dem Gitarristen, dass sie lange nach einem guten Musiker gesucht habe und glaube, dass seine Art zu spielen ausgezeichnet mit der Stimme der Sängerin harmonieren würde. Dann holte der Gitarrist sein Instrument und die Agentin sagte, dass die Sängerin schon bereit sei und sie direkt mit der Probe beginnen könnten.",Dann traf der Gitarrist die Agentin und dann ging er schnell zur Bühne.,206,54,1,152,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,3
"An einem verschneiten Wintertag wollten Kinder einen Schneemann bauen. Als sie fertig waren, bemerkten sie, dass sie die Karotte vergessen hatten. Schnell liefen sie nach Hause, um eine zu holen. Zuhause berichtete die Mutter, dass sie eine besonders schöne und große Karotte habe, die bestimmt eine tolle Nase für den Schneemann abgeben würde.",Fröhlich holte die Mutter die Karotte und danach wünschte sie den Kindern viel Spaß beim Schneemannbauen.,13,113,1,255,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,0
"Ein Läufer kam von seiner Joggingrunde nach Hause, als seine Freundin ihn im Flur abfing. Sie erzählte ihrem Freund, dass Freunde sie beide spontan zum Essen eingeladen hätten und sie bald losfahren müssten. Der Sportler versicherte ihr, dass er sich beeilen und nur kurz unter die Dusche springen würde. Nach einer Weile verließ der Freund die Dusche und zog sich an. Daraufhin gab sie dem Freund eine neue Spülung mit, die er ausprobieren solle, da sie selbst von dieser sehr begeistert war. Dann benutzte der die Spülung.",Danach rief der Sportler die Freundin und dann machten sie sich auf den Weg zu ihren Freunden.,28,128,1,256,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,0
"Eine Schaffnerin war auf dem Weg zum Bahnhof, um ihre Schicht anzutreten. Dort angekommen, erfuhr die Frau von ihrer Vorgesetzten, dass die Lokomotive aufgrund von technischen Störungen auf halber Strecke liegengeblieben war und die Zugfahrt ausfiel. Deswegen musste der Fahrplan angepasst werden. Da die nächste Schicht der Schaffnerin erst am Abend war, wurde sie von ihrer Chefin wieder nach Hause geschickt. Diese gab ihr auch den neuen Plan mit. Genervt verließ die Frau den Bahnhof. Wenig später war sie am Gleis und wartete auf die Bahn.",Dann studierte die Schaffnerin den Fahrplan und danach notierte sie sich die Änderungen.,27,127,1,256,Nein,&nbsp;Ja&nbsp;,6,3,yes,Hat die Schaffnerin den Fahrplan zerrissen?,D,manipulation,0
"Als Piraten von riesigen Goldschätzen auf einer kleinen Insel mitten im Meer gehört hatten, machten sie sich sofort auf den Weg, um sie zu suchen. Zu ihrer Überraschung entdeckten sie Einheimische auf der Insel, die die Goldschätze bewachten. Die Piraten versteckten sich vor den Einheimischen, um in Ruhe ihren Überfall vorbereiten zu können. Die Piraten warteten ab, bis die Einheimischen schliefen, um unbemerkt an die Goldschätze zu kommen.",Dann wechselten die Piraten die Einheimischen und danach segelten sie Richtung Heimat.,111,22,1,153,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,3
"Während der Dreharbeiten eines Actionfilms kam es zu einigen Problemen. Der Lautsprecher, den der Regisseur zuvor sorgfältig platziert hatte, stand im Weg und kam dem Filmstar deutlich in die Quere. So hatte der Schauspieler ihn bei einer Kampfszene auch beinahe umgestoßen und die Szene musste gestoppt werden. Lautstark beklagte er sich.",Daraufhin besänftigte der Regisseur den Filmstar und die Szene wurde noch einmal geprobt.,11,111,1,255,Nein,&nbsp;Ja&nbsp;,6,3,yes,Hat der Regisseur den Filmstar besänftigt?,K,manipulation,0
"Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde.",Dann kaufte der Lehrer die Weltkarte und danach verließ er das Geschäft.,49,2,1,151,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,3
"Eine Reporterin wollte einen Bericht über eine Farm schreiben. Dafür hatte sie sich ein paar Fragen überlegt, die sie dem Bauern stellen wollte. Am Hof angekommen begrüßte ein Mitarbeiter die Reporterin freundlich und brachte sie zum Bauern. Auf dem Weg erzählte der Mitarbeiter, dass er schon seit zwanzig Jahren auf der Farm arbeite. Beim Farmhaus angekommen, stellte der Mitarbeiter die Reporterin dem Bauern vor und wünschte ihnen ein erfolgreiches Interview.",Daraufhin verabschiedete die Reporterin den Mitarbeiter und anschließend machte sie ein paar Fotos vom Bauernhof.,91,16,1,151,Nein,&nbsp;Ja&nbsp;,6,3,no,,,,3
