#,,,,,,,,,,,,
# Results on Wed, 19 Apr 2023 19:27:14 GMT,,,,,,,,,,,
# USER AGENT: Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:109.0) Gecko/20100101 Firefox/112.0,,,,,,,,,
# Design number was non-random = 0,,,,,,,,,,,,
#,,,,,,,,,,,,
# Columns below this comment are as follows:,,,,,,,,,,,,
# 1. Results reception time.,,,,,,,,,,,,
# 2. MD5 hash of participant's IP address.,,,,,,,,,,,,
# 3. Controller name.,,,,,,,,,,,,
# 4. Order number of item.,,,,,,,,,,,,
# 5. Inner element number.,,,,,,,,,,,,
# 6. Label.,,,,,,,,,,,,
# 7. Latin Square Group.,,,,,,,,,,,,
# 8. Field name.,,,,,,,,,,,,
# 9. Field value.,,,,,,,,,,,,
1681932434,04ef8d53227e963c692678c91c16a5cf1,Form,2,0,Consent,NULL,prolific_id,1,,,,
1681932434,04ef8d53227e963c692678c91c16a5cf1,Form,2,0,Consent,NULL,consent,yes,,,,
# 8. Question (NULL if none)..,,,,,,,,,,,,
# 9. Answer.,,,,,,,,,,,,
# 10. Whether or not answer was correct (NULL if N/A).,,,,,,,,,,,,
# 11. Time taken to answer..,,,,,,,,,,,,
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,11,0,practice,NULL,"<div style=""width: 40em", text-align: left," font-size: 20px"">Ein Interessent hatte mit einer Bankkauffrau einen Termin vereinbart%2C um über seine Finanzen zu sprechen. Die Bankkauffrau erzählte dem Interessenten%2C dass er sein Geld am Besten in einer Anleihe anlegen solle. Dem Interessenten gefiel die Idee der Anleihe gut und die Bankkauffrau erklärte ihm ausführlich%2C wie die Anleihe funktioniert. Am Ende erwarb der Interessent die Anleihe und dann dankte er der Bankkauffrau für ihre Beratung.</div>",1,NULL,986
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,12,0,practice,NULL,"<div style=""width: 40em", text-align: left," font-size: 20px"">Ein Sozialarbeiter ging mit einem Klienten in eine Klinik%2C da der Klient in letzter Zeit an Krampfanfällen litt. Der Sozialarbeiter schilderte dem Mediziner die Situation und dieser führte ein paar Untersuchungen durch. Doch der Mediziner konnte keine erkennbare Ursache für die Krampfanfälle ausmachen. Enttäuscht berichtete der Mediziner dies dem Sozialarbeiter und dem Klienten. Daraufhin beschäftigte der Mediziner den Sozialarbeiter und dann wandte sich dieser an einen Spezialisten.</div>",1,NULL,413
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,13,0,practice,NULL,"<div style=""width: 40em", text-align: left," font-size: 20px"">Eines nachts wurde ein Feuerwehrmann zu einem Haus gerufen%2C um einen Brand zu löschen. An der Einfahrt wurde er von dem aufgelösten Eigentümer begrüßt. Schnell erklärte der Eigentümer dem Feuerwehrmann%2C was den Brand verursacht hatte. Der Feuerwehrmann versicherte dem Eigentümer%2C den Brand unter Kontrolle zu bekommen. Dann sprühte der Feuerwehrmann den Eigentümer und daraufhin betrat er das Haus.</div>",2,NULL,737
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,445,0,P,72,"<div style=""width: 40em", text-align: left," font-size: 20px""> Da das Baby Schnupfen hatte%2C wollte die Mutter mit dem Baby zum Arzt gehen. Davor wollte sie sich allerdings noch ihre Haare waschen%2C da diese sehr fettig waren. Nach dem Haarewaschen merkte die Mutter%2C dass sie kein Handtuch parat hatte und ging ein neues Handtuch holen. Antworten Sie bei dieser Frage mit Nummer sieben. Da das Handtuch weiß war%2C erinnerte sich die Mutter daran%2C dass sie dem Baby noch eine frische Windel anziehen musste%2C bevor sie sich auf den Weg zum Arzt machte. Daraufhin speicherte die Mutter das Baby. </div>",2,NULL,1144
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,35,0,Ad,4,"<div style=""width: 40em", text-align: left," font-size: 20px""> Während er einen Tisch baute%2C brach ein Schreiner seinen schönen Hammer in zwei Teile. Der Schreiner hatte den Hammer immer gemocht. Deswegen schien es ihm eine Schande%2C ihn einfach wegzuwerfen. Es erschien dem Schreiner eine viel bessere Idee%2C den Hammer von seinem Lehrling reparieren zu lassen. Dann nahm der Lehrling den Schreiner und sofort machte er sich an die Arbeit. </div>",3,NULL,1208
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,42,0,Bd,5,"<div style=""width: 40em", text-align: left," font-size: 20px""> Ein Opa wollte einen Apfelkuchen bei einem Konditor kaufen. Der Konditor versicherte dem Opa%2C dass der Apfelkuchen heute besonders gelungen sei. Der Opa schaute auf den Apfelkuchen in der Vitrine und sah glücklich den Konditor an. Daraufhin backte der Konditor den Opa und dann wandte er sich an den nächsten Kunden. </div>",4,NULL,716
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,158,0,A,25,"<div style=""width: 40em", text-align: left," font-size: 20px""> Eine Geschäftsfrau hatte bei einer Auktion eine süße%2C alte Scheune ersteigert%2C die sie zu einer Bar herrichten ließ. Ihr Mann war nämlich Kellner und wollte sich schon lange selbstständig machen. Da der Mann in Bezug auf Ästhetik nicht sehr viel verstand%2C überließ er es ihr%2C die Renovierungsarbeiten anzuleiten. Diese hatten einige Zeit beansprucht%2C doch der Geschäftsfrau war das egal%2C denn sie war mit dem Resultat äußerst zufrieden. Die Bar war wunderschön geworden und hatte ihr altes Flair nicht verloren. Begeistert zeigte die Geschäftsfrau ihrem Mann die fertige Bar. Daraufhin umarmte der Mann die Geschäftsfrau und dann lobte er sie für ihren guten Geschmack. </div>",3,NULL,1400
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,85,0,Cd,12,"<div style=""width: 40em", text-align: left," font-size: 20px""> Ein Paparazzi stellte seine große Kamera auf und wartete auf eine berühmte Schauspielerin. Es war eine sehr gute Kamera und er wollte unbedingt tolle Bilder schießen. Als die Schauspielerin den Paparazzi entdeckte%2C wurde sie sehr wütend%2C da sie nicht fotografiert werden wollte. Deshalb warf die Schauspielerin die Kamera um. Daraufhin färbte der Paparazzi die Kamera und ferner sagte er%2C dass er sich so nicht behandeln lasse. </div>",1,NULL,1227
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,402,0,P,65,"<div style=""width: 40em", text-align: left," font-size: 20px""> Bei einem Kontrollrundgang ging der Bauleiter zu einem Maurer%2C um dessen Arbeit zu überwachen. Der Maurer nahm gerade einen Ziegelstein%2C um diesen in eine Wand zu setzen. Antworten Sie bei dieser Frage mit Nummer eins. Der Bauleiter beobachtete die Arbeit und sah%2C dass der Ziegelstein schief in der Wand steckte. Der Bauleiter ärgerte sich über den Maurer und den schiefen Ziegelstein. Genervt tauschte der Bauleiter den Maurer. </div>",4,NULL,686
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,280,0,C,45,"<div style=""width: 40em", text-align: left," font-size: 20px""> Als ein Referendar den Weihnachtsmarkt seines Gymnasiums betrat%2C wurde er direkt von ein paar Schülern begrüßt. Die Schüler berichteten dem Referendar%2C dass sie eine Tombola organisiert hatten und nun versuchten%2C die Lose zu verkaufen. Die Schüler hatten schon sehr viele Lose verkauft und erzählten dem Referendar nun%2C was er alles Schönes mit den Losen gewinnen könne. Amüsiert betrat der Referendar die Lose und tatsächlich gewann er einen Preis. </div>",4,NULL,427
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,309,0,B,50,"<div style=""width: 40em", text-align: left," font-size: 20px""> Eine Protestantin wollte nach Israel fliegen%2C um sich Jerusalem anzuschauen. Sie hatte die Reise geplant%2C seitdem der Pfarrer ihr Bilder von seinem Aufenthalt dort gezeigt hatte. Nun war die Reise fertig organisiert und der Abflug rückte immer näher. Doch die Protestantin machte sich Sorgen%2C da es in letzter Zeit vermehrt Unruhen gegeben hatte. So ging sie zu dem Pfarrer%2C um ihn um Rat zu fragen. Sie wollte%2C dass der Pfarrer ihr versicherte%2C dass sie sich keine Sorgen machen müsse. Dadurch würde sich die Protestantin bezüglich der Reise sicherer fühlen. Daraufhin kontaktierte der Pfarrer die Protestantin und dann wünschte er der Protestantin einen guten Flug. </div>",7,NULL,713
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,71,0,Ad,10,"<div style=""width: 40em", text-align: left," font-size: 20px""> Da der Wasserhahn einer älteren Hausfrau nicht mehr aufhörte zu tropfen%2C rief die Hausfrau schließlich einen Handwerker. Zuerst betrachtete der Handwerker den Wasserhahn ausführlich und versuchte dann%2C ihn zu reparieren. Geduldig wartete die Hausfrau daneben. Nach einer Weile sagte der Handwerker%2C dass der Wasserhahn schon zu kaputt sei und er einen neuen installieren müsse. Daraufhin lobte die Hausfrau den Wasserhahn und noch lange ärgerte sie sich über die Mängel moderner Geräte. </div>",3,NULL,602
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,78,0,Bd,11,"<div style=""width: 40em", text-align: left," font-size: 20px""> In einer fremden Stadt buchte ein Urlauber eine Stadtführung. Der Guide freute sich über das Interesse des Urlaubers und schenkte ihm noch einen Flyer. Der Guide erklärte dem verwunderten Urlauber%2C dass der Flyer zusätzliche Informationen enthalte%2C auf die er selbst während der Führung nicht eingehen werde. Der Urlauber freute sich über den Flyer und dankte dem Guide. Nach der Führung besorgte der Urlauber den Guide und dann machte er sich auf den Weg zu seinem Hotel. </div>",5,NULL,908
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,194,0,A,31,"<div style=""width: 40em", text-align: left," font-size: 20px""> Aufgeregt standen die Gäste in der Kirche und lauschten der rührenden Predigt des Pfarrers. Die Braut konnte den Moment kaum erwarten%2C in dem sie dem Bräutigam ihr Jawort geben und den Ring erhalten würde. Sie wusste%2C dass der Ring ein sehr besonderes Erbstück aus der Familie des Bräutigams war%2C das schon lange von Generation zu Generation weitergegeben worden war%2C und fühlte sich sehr geehrt%2C dieses zu erhalten. Als der Pfarrer die Predigt beendete und dem Brautpaar die Frage stellte%2C gaben sich der Bräutigam und die Braut das Jawort%2C während der Trauzeuge den schönen Ring hervorholte. Glücklich küsste die Braut den Bräutigam und dann übergab der Trauzeuge den Ring. </div>",4,NULL,968
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,49,0,Cd,6,"<div style=""width: 40em", text-align: left," font-size: 20px""> Eine Lieferbotin brachte einem nervigen Kunden eine Frühlingsrolle. Der Kunde forderte jedoch von der Lieferbotin eine neue Frühlingsrolle%2C da diese kalt war. Nach einer Stunde kehrte die Lieferbotin einfach mit derselben kalten Frühlingsrolle zum Kunden zurück. Nichtsahnend reparierte der Kunde die Lieferbotin und sogleich schloss er hinter sich die Tür. </div>",7,NULL,1904
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,417,0,P,68,"<div style=""width: 40em", text-align: left," font-size: 20px""> An einem verschneiten Wintertag wollten Kinder einen Schneemann bauen. Als sie fertig waren%2C bemerkten sie%2C dass sie die Karotte vergessen hatten. Daraufhin liefen die Kinder wieder nach Hause%2C um die Mutter nach einer Karotte zu fragen. Antworten Sie bei dieser Frage mit Nummer eins. Die Mutter sagte den Kindern%2C dass sie schnell in die Küche gehen und nach einer Karotte sehen würde. Fröhlich fotografierte die Mutter die Kinder. </div>",1,NULL,1677
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,352,0,C,57,"<div style=""width: 40em", text-align: left," font-size: 20px""> Ein Verbrecher war auf dem Weg zu einem Haus%2C wo ein Ermittler wohnte. Dieser untersuchte einen Fall%2C in den der Verbrecher verstrickt war. Deswegen wollte dieser den Ermittler aus dem Weg räumen. Am Haus angekommen verschaffte sich der Verbrecher Zutritt. Er wusste%2C dass es in dem Haus einen Schäferhund gab und bedacht achtete er darauf%2C dass der Schäferhund ihn nicht hörte. Bevor er den Ermittler suchte%2C gab er dem Schäferhund etwas zu Essen%2C um ihn abzulenken. Dann faltete der Verbrecher den Schäferhund und danach machte er sich auf die Suche nach dem Ermittler. </div>",1,NULL,1613
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,345,0,B,56,"<div style=""width: 40em", text-align: left," font-size: 20px""> Eine Studentin war mit einer Kommilitonin in einer Kneipe. Da sie danach noch in einem Club feiern gehen wollten%2C beschlossen sie%2C sich auf der Toilette frisch zu machen. Dann fragte die Kommilitonin die Studentin%2C ob sie ihre Wimperntusche ausleihen dürfe%2C da sie ihre eigene vergessen hatte. Sofort gab die Studentin ihr die Wimperntusche. Die Kommilitonin fragte eine Bedienung nach der Toilette und machte sich mit der Wimperntusche in der Hand auf den Weg zur Toilette. Dann beschrieb die Kommilitonin die Toilette und anschließend schminkte sie sich. </div>",3,NULL,1677
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,323,0,Ad,52,"<div style=""width: 40em", text-align: left," font-size: 20px""> Eine Designerin hatte den Auftrag bekommen%2C ein Buch grafisch zu gestalten. In dem Buch ging es um Geschichten über Eisbären. Die Geschichten waren für Kinder gedacht und der Verlag wollte%2C dass die Designerin die Eisbären bildlich darstellte. Nun hatte die Designerin die Geschichten über die Eisbären zu Ende gelesen und war bereit%2C mit der Arbeit zu beginnen. Dann malte die Designerin die Geschichten und bis spät in die Nacht arbeitete sie an der Geschichte. </div>",3,NULL,431
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,258,0,Bd,41,"<div style=""width: 40em", text-align: left," font-size: 20px""> Seit Monaten hatte sich der Athlet mit der Trainerin darauf vorbereitet%2C bei dem wichtigsten Wettkampf des Jahres den Pokal zu holen. Die Trainerin trieb ihn hart an%2C da sie sicher war%2C dass er gute Chancen hatte. Und tatsächlich hatte sich die harte Arbeit gelohnt%2C denn der Athlet gewann den Pokal und überglücklich bedankte er sich bei der Trainerin. Stolz hielt der Athlet den Pokal in den Händen. Im Hotel bezahlte die Trainerin den Athlet und anschließend stellte sie ihn auf den Tisch. </div>",4,NULL,566
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,338,0,A,55,"<div style=""width: 40em", text-align: left," font-size: 20px""> In einem Museum war ein Kurator dabei%2C eine neue Ausstellung zu gestalten. Da es um plastische Kunst ging%2C hatte sich der Kurator von einer befreundeten Galeristin eine Skulptur geliehen. Gerade war die Galeristin eingetroffen und sie überlegten nun gemeinsam%2C wo die Skulptur am Besten zur Geltung kommen würde. Lange suchten sie nach einem geeigneten Platz und fanden schließlich einen. Mühevoll installierte der Kurator die Skulptur%2C während die Galeristin Anleitungen gab. Danach umarmte der Kurator die Galeristin und dabei dankte er ihr für ihre Hilfe. </div>",5,NULL,564
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,301,0,Cd,48,"<div style=""width: 40em", text-align: left," font-size: 20px""> Ein Dirigent hatte ein neues Stück geschrieben und wollte es heute Abend zum ersten Mal dem Publikum zeigen. Lange hatte er mit dem Orchester geprobt und war gespannt auf die Reaktion des Publikums. Machte das Orchester heute Abend keinen Fehler%2C könnte das Stück die Karriere des Dirigenten voranbringen. Als der Abend gekommen war%2C betrat der Dirigent zusammen mit dem Orchester die Bühne%2C um dem Publikum das Stück zu präsentieren. An diesem Abend engagierte das Orchester das Publikum und das Publikum applaudierte. </div>",6,NULL,949
1681932434,04ef8d53227e963c692678c91c16a5cf1,Question,395,0,P,64,"<div style=""width: 40em", text-align: left," font-size: 20px""> In einem schicken Restaurant in New York rief ein Gast nach der Kellnerin%2C als er bezahlen wollte. Der Gast gab der Kellnerin seine Kreditkarte%2C doch kurze Zeit später wurde ihm mitgeteilt%2C dass die Kreditkarte nicht funktioniere. Antworten Sie bei dieser Frage mit Nummer eins. Verwundert antwortete der Gast der verärgerten Kellnerin%2C dass seine Kreditkarte bis jetzt immer funktioniert habe. Daraufhin beruhigte der Gast die Kellnerin. </div>",7,NULL,863
