Condition,Item,Sentence,Verb,Target,Distractor,Last_Mentioned,Cloze,Cloze_distractor,Cloze_C_alternative,Cloze_round,Plaus_target_avg,Plaus_dist_avg,Cloze_C_alternative_Francesca,Surprisal_target,Surprisal_distractor
A,1,Dann verabschiedete die Dame,verabschiedete,Touristen,Koffer,target,0.6,0,,2,5.8,3.1,,2.503722429,1.063010693
B,1,Dann begrüßte die Dame,begrüßte,Touristen,Koffer,target,NA,NA,,,4.5,3.4,,1.769414067,5.617175102
C,1,Dann unterschrieb die Dame,unterschrieb,Touristen,Koffer,target,0,0,0.1333333333,,1.8,4.3,0.133333333,9.249886513,2.278341293
A,2,Dann kaufte der Lehrer,kaufte,Weltkarte,Verkäuferin,target,1,0,,2,6.7,1.4,,2.540403157,13.38705959
B,2,Dann unterschrieb der Lehrer,unterschrieb,Weltkarte,Verkäuferin,target,NA,NA,,,2.5,2.2,,5.18264766,9.113685579
C,2,Dann füllte der Lehrer,füllte,Weltkarte,Verkäuferin,target,0,0,0.2,,1.7,2.6,0.2,5.577688403,11.03621881
A,3,Dann stempelte der Busfahrer,stempelte,Streifenkarte,Redakteurin,target,1,0,,1,6.1,3.2,,0.352082517,18.18998361
B,3,Dann zeigte der Busfahrer,zeigte,Streifenkarte,Redakteurin,target,NA,NA,,,2.1,1.7,,0.8614109214,17.00164714
C,3,Dann aß der Busfahrer,aß,Streifenkarte,Redakteurin,target,0.06666666667,0,0.1333333333,,1.4,1,0.2,0.4531728439,19.07749257
A,4,Dann nahm der Lehrling,nahm,Hammer,Schreiner,target,0.8,0,,1,6.4,1.7,,0.1730497032,10.1279211
B,4,Dann bemalte der Lehrling,bemalte,Hammer,Schreiner,target,NA,NA,,,4.1,2.6,,0.2754569054,11.37595844
C,4,Dann aß der Lehrling,aß,Hammer,Schreiner,target,0.06666666667,0,0.2,,1.2,1.4,0.333333333,0.4900487661,10.0648241
A,5,Daraufhin verpackte der Konditor,verpackte,Apfelkuchen,Opa,target,1,0,,1,6.2,1.2,,0.5783187672,10.57731247
B,5,Daraufhin backte der Konditor,backte,Apfelkuchen,Opa,target,NA,NA,,,3.1,1.7,,0.6175215673,10.57731247
C,5,Daraufhin spülte der Konditor,spülte,Apfelkuchen,Opa,target,0,0,0.2666666667,,2,1.3,0.266666667,0.5280218385,10.83362293
A,6,Nichtsahnend nahm der Kunde,nahm,Frühlingsrolle,Lieferbotin,target,1,0,,2,5.6,2.7,,1.04623188,7.937069635
B,6,Nichtsahnend wusch der Kunde,wusch,Frühlingsrolle,Lieferbotin,target,NA,NA,,,1.7,1.6,,1.856425717,8.906346759
C,6,Nichtsahnend reparierte der Kunde,reparierte,Frühlingsrolle,Lieferbotin,target,0.1333333333,0,0.1333333333,,1.5,1.2,0.266666667,2.405750884,5.936846606
A,7,Dann durchschnitt der Metzger,durchschnitt,Fleischwurst,Vegetarierin,target,0.9333333333,0,,2,5.5,1.4,,0.5609152988,12.23508824
B,7,Dann bestellte der Metzger,bestellte,Fleischwurst,Vegetarierin,target,NA,NA,,,4.6,2,,3.501918103,3.488495838
C,7,Dann mietete der Metzger,mietete,Fleischwurst,Vegetarierin,target,0.06666666667,0,0.1333333333,,1.2,1.1,0.266666667,4.751283973,6.609155957
A,8,Dann bedrohte der Tierliebhaber,bedrohte,Kutscher,Gaul,distractor,0.8,0,,2,6.8,2.6,,3.99289098,0.557846427
B,8,Dann bezahlte der Tierliebhaber,bezahlte,Kutscher,Gaul,distractor,NA,NA,,,3.5,2.1,,4.051906586,2.945972919
C,8,Dann füllte der Tierliebhaber,füllte,Kutscher,Gaul,distractor,0.06666666667,0.1333333333,0.1333333333,,2.5,2.5,0.4,5.181012943,2.861481428
A,9,Dann bestieg der Kapitän,bestieg,Segelbott,Pärchen,distractor,0.8666666667,0,,2,6.6,2.4,,2.655766811,5.301503154
B,9,Dann sichtete der Kapitän,sichtete,Segelboot,Pärchen,distractor,NA,NA,,,5.5,4.8,,2.938949816,1.501931571
C,9,Dann verschloss der Kapitän,verschloss,Segelboot,Pärchen,distractor,0.06666666667,0.06666666667,0.2666666667,,2.4,1.2,0.266666667,1.523858286,2.642583836
A,10,Daraufhin lobte die Hausfrau,lobte,Handwerker,Wasserhahn,distractor,0.8,0.06666666667,,2,5.2,1.7,,0.2926407754,6.799437565
B,10,Daraufhin verständigte die Hausfrau,verständigte,Handwerker,Wasserhahn,distractor,NA,NA,,,4.7,1.5,,1.18340838,6.769534409
C,10,Daraufhin knickte die Hausfrau,knickte,Handwerker,Wasserhahn,distractor,0,0.06666666667,0,,1.5,1.7,0.266666667,9.01718998,1.229346
