Item,Condition,Rating,ReactionTime,Ratingdist,ReactionTimedist
1,A,6.42857142857143,17827.8571428571,3.1,26525.9
1,B,4.625,19804.875,3.4,27378.2
1,C,1.5,22069,4.3,23330.6
2,A,6.88888888888889,21685.4444444444,1.4,21747.1
2,B,3.14285714285714,19109.5714285714,2.2,35619.4
2,C,1.375,37876.5,2.6,28936.5
3,A,6.33333333333333,23386.3333333333,3.2,21555.5
3,B,3.2,23990.4,1.7,35073
3,C,1.22222222222222,17259.2222222222,1,25873.5
4,A,6.875,17365.5,1.7,17823.9
4,B,4.57142857142857,20044.7142857143,2.6,13999.3
4,C,1.2,13874.7,1.4,17230.7
5,A,6.71428571428571,12721,1.2,14481.6
5,B,3.33333333333333,18533.4444444444,1.7,12362
5,C,1.28571428571429,13743.2857142857,1.3,10760.1
6,A,6.8,16247.6,2.7,20480.1
6,B,2.75,21818.5,1.6,18221.8
6,C,1.33333333333333,16223.3333333333,1.2,12384.6
7,A,6.33333333333333,18674.5,1.4,25915.3
7,B,5,21356.3333333333,2,25350.8
7,C,1.2,21847,1.1,20531.6
8,A,6.8,17369,2.6,17058.2
8,B,3.375,17216.125,2.1,21434.1
8,C,1,16144.6,2.5,47838.6
9,A,6.6,23030.2,2.4,20661.7
9,B,5.125,15582.625,4.8,21672.4
9,C,1.6,17364.4,1.2,15832.5
10,A,6.42857142857143,24695,1.7,53107.8
10,B,4.57142857142857,21445.2857142857,1.5,18914.1
10,C,1.125,20760.125,1.7,22991.8
11,A,6.625,28852.5,5.4,112254.1
11,B,3,23420.3333333333,2.5,143928.1
11,C,1.375,28211.25,1.9,18636.9
12,A,6.875,30013.75,1.9,18685.6
12,B,3.5,17394.1666666667,2.9,20406.4
12,C,1.25,15251.5,1.9,14137
13,A,6.75,14322.125,5.1,35287.4
13,B,5.2,21071.4,5.6,22923.6
13,C,1,32284.5,3.3,24965.1
14,A,6.5,26342.1666666667,2.1,25478.8
14,B,4.2,29954.6,2.3,27748.4
14,C,1.42857142857143,23321,2.3,53740.1
15,A,6.8,14734.4,2.6,20923.1
15,B,2.85714285714286,22771.7142857143,2.2,21399.8
15,C,1.33333333333333,16683.1111111111,2.8,30876.5
16,A,6.4,30946,4.9,19937.6
16,B,4.5,30126.5,4.4,24512.8
16,C,1.75,12853.75,2.7,25280.3
17,A,7,21384.75,2.1,20177.9
17,B,4.77777777777778,19655.3333333333,2.2,17520.5
17,C,1.22222222222222,22264.3333333333,1.8,16917.3
18,A,6.75,17693.75,2.8,20444.5
18,B,3.33333333333333,17545,5.5,17596.8
18,C,1.44444444444444,35261.4444444444,1.9,15441.6
19,A,7,17967,3.2,24680.2
19,B,6,15735,6.4,18108.4
19,C,1.4,17845.1,1.4,18931.5
20,A,6.5,19892.5,3.8,31270.7
20,B,3.77777777777778,21078.6666666667,2.3,23045.6
20,C,1.33333333333333,22948.3333333333,2.5,25906.6
21,A,6.8,21945.6,2.3,16209.7
21,B,5,22390.8571428571,1.6,17106.4
21,C,1.16666666666667,13909.6666666667,4.7,36330.4
22,A,6.57142857142857,48316.8571428571,1.3,19486.4
22,B,2.71428571428571,30085.5714285714,4,19573.1
22,C,1.22222222222222,20464.2222222222,1.9,21969.7
23,A,6.8,19449.4,6,18246.5
23,B,3.42857142857143,24014,1.4,16331.7
23,C,1.6,19473,2.1,18090.9
24,A,6.4,19020.4,6.8,21707.1
24,B,2.8,28621,2.7,22586.3
24,C,1.2,29706.7,1.7,23575.2
25,A,6.71428571428571,21140,3.7,39801.9
25,B,4.83333333333333,22413.6666666667,2.7,39873.7
25,C,1.33333333333333,27049.5555555556,3.6,20266.7
26,A,6.8,20157.2,2,23355.6
26,B,5.25,20168.5,6,25035.3
26,C,1,22166.5,1.6,24615.9
27,A,6.2,29802.8,1.6,23216.3
27,B,4.22222222222222,27112.6666666667,1.7,26521.4
27,C,1.1,18398.8,1.4,24301.4
28,A,6.85714285714286,30251.7142857143,1.4,19883.2
28,B,4.875,28095.25,2,21722.7
28,C,1.33333333333333,27243.7777777778,1.9,27824
29,A,6.83333333333333,21064.3333333333,1.5,19445.1
29,B,2.85714285714286,44018.2857142857,1.7,15675.7
29,C,1.22222222222222,48936.1111111111,2.6,21116.4
30,A,6.7,17816.7,5.5,24954.2
30,B,3,24378,1.8,23868.4
30,C,1.44444444444444,36753,1.4,16962.1
31,A,6.85714285714286,15845,3.5,32983
31,B,2.6,25547.6,2.3,60126.4
31,C,1.66666666666667,27629.7777777778,2,40611.6
32,A,6.8,20997.4,1.7,18555.1
32,B,4,16288.875,2,30799
32,C,1.4,21746.4,2.5,21631.7
33,A,6.9,25626.5,2.3,23209.2
33,B,4.25,26392.125,1.8,22788.4
33,C,1.125,16479,1.4,36618.8
34,A,6.625,22365.625,1.3,17077.2
34,B,5.57142857142857,32448.5714285714,1.4,35152.2
34,C,1.33333333333333,20197.5555555556,1.9,29203
35,A,6.875,15429.625,5.9,16955.2
35,B,3.85714285714286,14997.1428571429,2.9,14930.9
35,C,1.42857142857143,15151.4285714286,2.1,15853.9
36,A,6.85714285714286,20093.5714285714,3.1,25102.4
