Context,Sentence,Item,ItemNum,Group,Cond,Left,Right,Critical,Block,Question,QuestionText,QuestionCorrect,QuestionCond,ListMy
"Eine Putzfrau reinigte einen sehr verstaubten Raum, in dem ein Pianist gerade an einem Flügel übte. Da auch der Flügel etwas dreckig war, fragte sie, ob sie ihn putzen solle. Daraufhin erklärte ihr der Musiker, dass er Angst habe, das Instrument könnte sich verstimmen, wenn es mit Feuchtigkeit in Berührung käme. Die Putzfrau sagte, dass sie schon sehr viel Wasser zum Reinigen verwenden müsste. Beruhigt nickte der Pianist und wandte sich wieder dem Flügel zu.",Daraufhin belächelte die Putzfrau den Pianisten und danach lauschte sie seiner Musik.,19,119,1,256,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,0
"Die spanische Haushaltshilfe machte dem Professor die Tür auf und ließ ihn ins Haus. Dieser erzählte, dass er sich sofort an seinen Schreibtisch setzen würde, um eine Klassenarbeit zu verbessern, welche er sich schon längst hätte anschauen sollen. Die Arbeit seufzte, als die Angestellte ins Zimmer trat und sich mit starkem spanischem Akzent verabschiedete.",Dann entließ der Professor die Haushaltshilfe in den Feierabend und dabei berichtigte er schmunzelnd ihre Aussprache.,31,131,1,257,Nein,&nbsp;Ja&nbsp;,6,1,yes,Hat der Professor die Haushaltshilfe in den Feierabend entlassen?,K,manipulation,0
"Ein Moderator machte sich bereit, um die neuesten Ereignisse im Fernsehen vorzutragen. Es hatte Unruhen gegeben und die Menschen warteten darauf, genaueres zu erfahren. Eine Kollegin kam zu ihm und gab ihm einen Zettel mit Instruktionen, die er beim Vortragen beachten solle. Die Vorschriften belächelten den Moderator, als die Sendung begann.",Dann befolgte der Nachrichtensprecher die Instruktionen und daraufhin berichtete er über die Unruhen.,35,135,1,257,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,0
"Ein Rentner wollte auf einem Trödelmarkt sein altes Zelt verkaufen, mit dem er schon viele schöne Urlaube verbracht hatte. Deshalb wollte er nun einen neuen Besitzer finden, der genauso viel Freude daran haben würde, wie er selbst sie gehabt hatte. Plötzlich tauchte ein kleines Kind neben ihm auf und starrte begeistert auf das Zelt. Das Kind stellte dem Rentner viele Fragen und erzählte ihm auch von seinen eigenen Campingausflügen mit der Familie. Schließlich fragte das Kind nach dem Preis für das Zelt.",Lachend holte der Rentner das Zelt und dann schenkte er es dem Kind.,121,26,1,151,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
"Während er einen Tisch baute, brach ein Schreiner seinen schönen Hammer in zwei Teile. Der Schreiner hatte den Hammer immer gemocht. Deswegen schien es ihm eine Schande, ihn einfach wegzuwerfen. Es erschien dem Schreiner eine viel bessere Idee, den Hammer von seinem Lehrling reparieren zu lassen.",Dann aß der Lehrling den Hammer und sofort machte er sich an die Arbeit.,57,4,1,153,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
"In einem Restaurant unterhielt sich eine Vegetarierin mit einem befreundeten Metzger über eine Fleischwurst auf seinem Teller. Der Metzger sah die Vegetarierin an und erklärte, diese Fleischwurst zu essen, wäre ein reines Vergnügen. Er verglich es sogar damit, eine schöne Oper zu hören. Die Vegetarierin hielt dies jedoch für einen schlechten Vergleich und wies den Metzger darauf hin, dass ein Tier für diese Fleischwurst getötet worden war.",Dann mietete der Metzger die Fleischwurst und sofort begann er zu essen.,66,7,1,153,Nein,&nbsp;Ja&nbsp;,6,1,yes,Hat der Metzger die Fleischwurst gemietet?,K,manipulation,3
Ein kleines Mädchen hatte von ihrem Papa zum Geburtstag einen Teddybären geschenkt bekommen. Zur Freude des Vaters hatte es diesen sofort ins Herz geschlossen und wollte ihn ihrer besten Freundin zeigen. Doch auf dem Weg zur Freundin stolperte das Kind versehentlich über einen Stein und fiel hin. Es hatte sich das Knie aufgeschürft und das Kuscheltier war in einer Pfütze gelandet und war nun ganz nass und dreckig. Weinend lief die Kleine zurück zu ihrem Vater. Zuhause tröstete dieser den Teddybären.,Dann reinigte der Papa das Kuscheltier und dann gab er dem Mädchen ein Pflaster.,17,117,1,256,Nein,&nbsp;Ja&nbsp;,6,1,yes,Wollte das Mädchen seinen Papa besuchen?,D,paragraph,0
"Nach einer Abendveranstaltung machte sich eine Tänzerin auf den Weg nach Hause. Sie beeilte sich, um schnell bei ihrer Tochter und der Babysitterin zu sein. Da die Babysitterin das erste Mal auf die Tochter aufgepasst hatte, wollte die Tänzerin schnell nach Hause, um nach dem Rechten zu schauen. Zuhause angekommen fand die Tänzerin eine glückliche Tochter und eine entspannte Babysitterin vor und war sehr erleichtert.",Dann umarmte die Tänzerin die Babysitterin und anschließend schickte sie diese nach Hause.,161,39,1,152,Nein,&nbsp;Ja&nbsp;,6,1,yes,Hat die Babysitterin die Tochter umarmt?,D,manipulation,3
"Ein Eskimo wollte auf die Jagd gehen, um eine Robbe zu jagen. Er nahm seine Freundin als Begleitung mit. Auf dem Weg sagte der Eskimo zu der Freundin, dass sie sich ganz still verhalten müsse und sich nicht mehr bewegen dürfe, sobald sie die Robbe erblickten. Nach einer Weile entdeckte der Eskimo die Robbe in geeigneter Entfernung und zeigte sie der Freundin.",Dann erschoss der Eskimo die Freundin und danach lud er sein Gewehr neu.,158,38,1,152,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
"Eines Winterabends betrat eine Ehefrau mit einer Platzwunde am Kopf und einer verbogenen Brille ihre Wohnung. Erschrocken fragte ihr Mann sie, was denn passiert sei. Die Frau legte die Brille beiseite und erzählte ihm, dass sie auf der vereisten Straße ausgerutscht sei. Dabei war auch ihre Brille kaputt gegangen.",Daraufhin reparierte der Ehemann die Brille und noch lange schimpfte er über die vereisten Straßen.,3,103,1,255,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,0
"Eine Hundeliebhaberin hatte ihren Nachbarn engagiert, um auf den Welpen aufzupassen, da sie über das Wochenende geschäftlich unterwegs war. Da die Hundeliebhaberin wusste, dass der Nachbar sich gut mit Tieren auskannte und den Welpen auch sehr gerne hatte, hatte sie keine Bedenken. Trotzdem war sie froh, als sie wieder zu Hause war. Als die Hundeliebhaberin die Haustüre aufschloss, rannte ihr der Welpe entgegen und der Nachbar begrüßte sie freundlich.",Daraufhin drückte die Hundeliebhaberin den Nachbarn und außerdem bedankte sie sich für seine Zeit.,152,36,1,152,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
"Während eines wilden Konzerts hatte ein berühmter Musiker eine Gitarre beschädigt. Das Instrument gehörte jedoch nicht ihm, sondern der Veranstalterin. Da er die Frau gern mochte, wollte er sie nicht verärgern und fragte sich, ob ihr die Beschädigung an der Gitarre überhaupt auffallen würde.",Letztendlich reparierte der Musiker die Gitarre und daraufhin übergab er sie der Veranstalterin.,4,104,1,255,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,0
"Ein Autor ging mit dem Hund spazieren, um an der frischen Luft neue Ideen für sein derzeitiges Buch zu bekommen. Der Autor hatte einen Ball dabei, da der Hund sehr verspielt war. Im Park angekommen, warf der Autor den Ball einige Meter weit. Sofort rannte der Hund dem Ball nach und brachte ihn brav zurück.",Daraufhin tätschelte der Autor den Ball und wieder warf er ihn einige Meter weit.,170,42,1,152,Nein,&nbsp;Ja&nbsp;,6,1,no,,,,3
"In einem Kriegsgebiet wollte ein Soldat eine Zivilistin unbemerkt an den gegnerischen Truppen vorbei schmuggeln, da es für sie sehr gefährlich war, allein unterwegs zu sein. Da sie sich in einem Kriegsgebiet befanden, hielt der Soldat die Waffe bereit. So schlichen die Zivilistin und der Soldat mit seiner Waffe still die Häuser entlang. Die Zivilistin war sehr erleichtert über die Hilfe und fühlte sich durch die Waffe auch sicher, doch plötzlich tauchte vor ihnen ein Panzer des gegnerischen Lagers auf.",Schnell zückte der Soldat die Waffe und sofort ging er in Deckung.,184,47,1,151,Nein,&nbsp;Ja&nbsp;,6,1,yes,Wollte der Soldat die Frau an anderen Zivilisten vorbei schmuggeln?,D,paragraph,3
"Am Abend kam ein Journalist in ein italienisches Restaurant, wo er von der Bedienung freundlich begrüßt wurde. Er erklärte, dass er wenig Zeit habe und schnell etwas essen wolle, worauf die Frau ihm die Speisekarte reichte. Dann wies die Kellnerin dem Journalisten einen Tisch zu.",Am Tisch las der Journalist die Speisekarte und bald entschied er sich für eine Suppe.,1,101,1,255,Nein,&nbsp;Ja&nbsp;,7,1,yes,Ist der Journalist in ein italienisches Restaurant gegangen?,K,paragraph,0
